Month,Open,High,Low,Close
February-2019,14319.80,14553.39,13839.50,14196.80,
March-2019,14247.43,15316.93,14246.80,15304.57,
April-2019,15369.60,15570.55,15170.57,15293.75,
May-2019,15302.21,15657.45,14424.10,15517.90,
June-2019,15551.89,15742.11,15008.73,15291.70,
July-2019,15342.83,15527.12,14144.39,14324.12,
August-2019,14296.83,14424.42,13678.41,14234.07,
September-2019,14185.46,15151.94,13860.19,14810.02,
October-2019,14869.76,15456.77,14291.12,15387.13,
November-2019,15406.92,15676.36,15228.68,15567.67,
December-2019,15644.73,15786.44,15193.17,15667.44,
January-2020,15699.53,15734.92,15674.02,15694.44,
